"status","diet","common.name","year","N"
"migrant",NA,"Merlin",1973,NA
"migrant",NA,"Bicknell's Thrush",1973,NA
"migrant",NA,"Ovenbird",1973,NA
"migrant",NA,"Worm-eating Warbler",1973,3
"migrant",NA,"Northern Waterthrush",1973,NA
"migrant",NA,"Blue-winged Warbler",1973,NA
"migrant",NA,"Black-and-white Warbler",1973,5
"migrant",NA,"Prothonotary Warbler",1973,NA
"migrant",NA,"Swainson's Warbler",1973,NA
"migrant",NA,"Kentucky Warbler",1973,NA
"migrant",NA,"Hooded Warbler",1973,NA
"migrant",NA,"American Redstart",1973,6
"migrant",NA,"Cape May Warbler",1973,NA
"migrant",NA,"Northern Parula",1973,NA
"migrant",NA,"Magnolia Warbler",1973,NA
"migrant",NA,"Black-throated Blue Warbler",1973,NA
"migrant",NA,"Prairie Warbler",1973,NA
"migrant",NA,"Baltimore Oriole",1973,NA
"migrant",NA,"Indigo Bunting",1973,NA
"migrant",NA,"Rose-breasted Grosbeak",1973,NA
"resident","Frugivores","Zenaida Dove",1973,0
"resident","Frugivores","Common Ground-dove",1973,16
"resident","Frugivores","Key West Quail Dov",1973,0
"resident","Frugivores","Pearly-eyed Thrasher",1973,4
"resident","Frugivores","Red-legged Thrush",1973,2
"resident","Frugivores","Antillean Euphonia",1973,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1973,6
"resident","Frugivores","Puerto Rican Bullfinch",1973,22
"resident","Frugivores","Black-faced Grassquit",1973,6
"resident","Frugivores","Yellow-faced Grassquit",1973,0
"resident","Frugivores","Northern Mockingbird",1973,0
"resident","Nectarivores","Antillean Mango",1973,3
"resident","Nectarivores","Puero Rican Emerald",1973,0
"resident","Nectarivores","Bananaquit",1973,53
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1973,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1973,1
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1973,4
"resident","Insectivores-Gleaners","Adelaide's Warbler",1973,5
"resident","Insectivores-Gleaners","Black-cowled Oriole",1973,1
"resident","Insectivores-Gleaners","Troupial",1973,4
"resident","Insectivores-Flycatchers","Gray Kingbird",1973,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1973,6
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1973,6
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1973,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1973,0
"migrant",NA,"Merlin",1974,NA
"migrant",NA,"Bicknell's Thrush",1974,NA
"migrant",NA,"Ovenbird",1974,NA
"migrant",NA,"Worm-eating Warbler",1974,4
"migrant",NA,"Northern Waterthrush",1974,NA
"migrant",NA,"Blue-winged Warbler",1974,NA
"migrant",NA,"Black-and-white Warbler",1974,6
"migrant",NA,"Prothonotary Warbler",1974,NA
"migrant",NA,"Swainson's Warbler",1974,NA
"migrant",NA,"Kentucky Warbler",1974,NA
"migrant",NA,"Hooded Warbler",1974,NA
"migrant",NA,"American Redstart",1974,7
"migrant",NA,"Cape May Warbler",1974,NA
"migrant",NA,"Northern Parula",1974,NA
"migrant",NA,"Magnolia Warbler",1974,NA
"migrant",NA,"Black-throated Blue Warbler",1974,NA
"migrant",NA,"Prairie Warbler",1974,NA
"migrant",NA,"Baltimore Oriole",1974,NA
"migrant",NA,"Indigo Bunting",1974,NA
"migrant",NA,"Rose-breasted Grosbeak",1974,NA
"resident","Frugivores","Zenaida Dove",1974,0
"resident","Frugivores","Common Ground-dove",1974,1
"resident","Frugivores","Key West Quail Dov",1974,0
"resident","Frugivores","Pearly-eyed Thrasher",1974,5
"resident","Frugivores","Red-legged Thrush",1974,2
"resident","Frugivores","Antillean Euphonia",1974,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1974,2
"resident","Frugivores","Puerto Rican Bullfinch",1974,6
"resident","Frugivores","Black-faced Grassquit",1974,0
"resident","Frugivores","Yellow-faced Grassquit",1974,0
"resident","Frugivores","Northern Mockingbird",1974,0
"resident","Nectarivores","Antillean Mango",1974,1
"resident","Nectarivores","Puero Rican Emerald",1974,0
"resident","Nectarivores","Bananaquit",1974,33
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1974,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1974,0
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1974,2
"resident","Insectivores-Gleaners","Adelaide's Warbler",1974,6
"resident","Insectivores-Gleaners","Black-cowled Oriole",1974,1
"resident","Insectivores-Gleaners","Troupial",1974,0
"resident","Insectivores-Flycatchers","Gray Kingbird",1974,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1974,5
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1974,6
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1974,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1974,0
"migrant",NA,"Merlin",1975,NA
"migrant",NA,"Bicknell's Thrush",1975,NA
"migrant",NA,"Ovenbird",1975,NA
"migrant",NA,"Worm-eating Warbler",1975,1
"migrant",NA,"Northern Waterthrush",1975,NA
"migrant",NA,"Blue-winged Warbler",1975,NA
"migrant",NA,"Black-and-white Warbler",1975,2
"migrant",NA,"Prothonotary Warbler",1975,NA
"migrant",NA,"Swainson's Warbler",1975,NA
"migrant",NA,"Kentucky Warbler",1975,NA
"migrant",NA,"Hooded Warbler",1975,NA
"migrant",NA,"American Redstart",1975,3
"migrant",NA,"Cape May Warbler",1975,NA
"migrant",NA,"Northern Parula",1975,NA
"migrant",NA,"Magnolia Warbler",1975,NA
"migrant",NA,"Black-throated Blue Warbler",1975,NA
"migrant",NA,"Prairie Warbler",1975,NA
"migrant",NA,"Baltimore Oriole",1975,NA
"migrant",NA,"Indigo Bunting",1975,NA
"migrant",NA,"Rose-breasted Grosbeak",1975,NA
"resident","Frugivores","Zenaida Dove",1975,0
"resident","Frugivores","Common Ground-dove",1975,7
"resident","Frugivores","Key West Quail Dov",1975,0
"resident","Frugivores","Pearly-eyed Thrasher",1975,8
"resident","Frugivores","Red-legged Thrush",1975,5
"resident","Frugivores","Antillean Euphonia",1975,1
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1975,1
"resident","Frugivores","Puerto Rican Bullfinch",1975,8
"resident","Frugivores","Black-faced Grassquit",1975,0
"resident","Frugivores","Yellow-faced Grassquit",1975,0
"resident","Frugivores","Northern Mockingbird",1975,0
"resident","Nectarivores","Antillean Mango",1975,2
"resident","Nectarivores","Puero Rican Emerald",1975,0
"resident","Nectarivores","Bananaquit",1975,18
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1975,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1975,0
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1975,1
"resident","Insectivores-Gleaners","Adelaide's Warbler",1975,1
"resident","Insectivores-Gleaners","Black-cowled Oriole",1975,2
"resident","Insectivores-Gleaners","Troupial",1975,2
"resident","Insectivores-Flycatchers","Gray Kingbird",1975,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1975,8
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1975,1
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1975,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1975,0
"migrant",NA,"Merlin",1976,NA
"migrant",NA,"Bicknell's Thrush",1976,NA
"migrant",NA,"Ovenbird",1976,NA
"migrant",NA,"Worm-eating Warbler",1976,1
"migrant",NA,"Northern Waterthrush",1976,NA
"migrant",NA,"Blue-winged Warbler",1976,NA
"migrant",NA,"Black-and-white Warbler",1976,4
"migrant",NA,"Prothonotary Warbler",1976,NA
"migrant",NA,"Swainson's Warbler",1976,NA
"migrant",NA,"Kentucky Warbler",1976,NA
"migrant",NA,"Hooded Warbler",1976,NA
"migrant",NA,"American Redstart",1976,6
"migrant",NA,"Cape May Warbler",1976,NA
"migrant",NA,"Northern Parula",1976,NA
"migrant",NA,"Magnolia Warbler",1976,NA
"migrant",NA,"Black-throated Blue Warbler",1976,NA
"migrant",NA,"Prairie Warbler",1976,NA
"migrant",NA,"Baltimore Oriole",1976,NA
"migrant",NA,"Indigo Bunting",1976,NA
"migrant",NA,"Rose-breasted Grosbeak",1976,NA
"resident","Frugivores","Zenaida Dove",1976,1
"resident","Frugivores","Common Ground-dove",1976,4
"resident","Frugivores","Key West Quail Dov",1976,0
"resident","Frugivores","Pearly-eyed Thrasher",1976,5
"resident","Frugivores","Red-legged Thrush",1976,0
"resident","Frugivores","Antillean Euphonia",1976,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1976,0
"resident","Frugivores","Puerto Rican Bullfinch",1976,6
"resident","Frugivores","Black-faced Grassquit",1976,1
"resident","Frugivores","Yellow-faced Grassquit",1976,1
"resident","Frugivores","Northern Mockingbird",1976,0
"resident","Nectarivores","Antillean Mango",1976,2
"resident","Nectarivores","Puero Rican Emerald",1976,0
"resident","Nectarivores","Bananaquit",1976,9
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1976,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1976,1
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1976,0
"resident","Insectivores-Gleaners","Adelaide's Warbler",1976,1
"resident","Insectivores-Gleaners","Black-cowled Oriole",1976,0
"resident","Insectivores-Gleaners","Troupial",1976,4
"resident","Insectivores-Flycatchers","Gray Kingbird",1976,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1976,11
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1976,1
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1976,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1976,0
"migrant",NA,"Merlin",1977,NA
"migrant",NA,"Bicknell's Thrush",1977,NA
"migrant",NA,"Ovenbird",1977,NA
"migrant",NA,"Worm-eating Warbler",1977,NA
"migrant",NA,"Northern Waterthrush",1977,NA
"migrant",NA,"Blue-winged Warbler",1977,NA
"migrant",NA,"Black-and-white Warbler",1977,NA
"migrant",NA,"Prothonotary Warbler",1977,NA
"migrant",NA,"Swainson's Warbler",1977,NA
"migrant",NA,"Kentucky Warbler",1977,NA
"migrant",NA,"Hooded Warbler",1977,NA
"migrant",NA,"American Redstart",1977,NA
"migrant",NA,"Cape May Warbler",1977,NA
"migrant",NA,"Northern Parula",1977,NA
"migrant",NA,"Magnolia Warbler",1977,NA
"migrant",NA,"Black-throated Blue Warbler",1977,NA
"migrant",NA,"Prairie Warbler",1977,NA
"migrant",NA,"Baltimore Oriole",1977,NA
"migrant",NA,"Indigo Bunting",1977,NA
"migrant",NA,"Rose-breasted Grosbeak",1977,NA
"resident","Frugivores","Zenaida Dove",1977,NA
"resident","Frugivores","Common Ground-dove",1977,NA
"resident","Frugivores","Key West Quail Dov",1977,NA
"resident","Frugivores","Pearly-eyed Thrasher",1977,NA
"resident","Frugivores","Red-legged Thrush",1977,NA
"resident","Frugivores","Antillean Euphonia",1977,NA
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1977,NA
"resident","Frugivores","Puerto Rican Bullfinch",1977,NA
"resident","Frugivores","Black-faced Grassquit",1977,NA
"resident","Frugivores","Yellow-faced Grassquit",1977,NA
"resident","Frugivores","Northern Mockingbird",1977,NA
"resident","Nectarivores","Antillean Mango",1977,NA
"resident","Nectarivores","Puero Rican Emerald",1977,NA
"resident","Nectarivores","Bananaquit",1977,NA
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1977,NA
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1977,NA
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1977,NA
"resident","Insectivores-Gleaners","Adelaide's Warbler",1977,NA
"resident","Insectivores-Gleaners","Black-cowled Oriole",1977,NA
"resident","Insectivores-Gleaners","Troupial",1977,NA
"resident","Insectivores-Flycatchers","Gray Kingbird",1977,NA
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1977,NA
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1977,NA
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1977,NA
"resident","Insectivores-Elaenia","Carribean Elaenia",1977,NA
"migrant",NA,"Merlin",1978,NA
"migrant",NA,"Bicknell's Thrush",1978,NA
"migrant",NA,"Ovenbird",1978,NA
"migrant",NA,"Worm-eating Warbler",1978,4
"migrant",NA,"Northern Waterthrush",1978,NA
"migrant",NA,"Blue-winged Warbler",1978,NA
"migrant",NA,"Black-and-white Warbler",1978,4
"migrant",NA,"Prothonotary Warbler",1978,NA
"migrant",NA,"Swainson's Warbler",1978,NA
"migrant",NA,"Kentucky Warbler",1978,NA
"migrant",NA,"Hooded Warbler",1978,NA
"migrant",NA,"American Redstart",1978,5
"migrant",NA,"Cape May Warbler",1978,NA
"migrant",NA,"Northern Parula",1978,NA
"migrant",NA,"Magnolia Warbler",1978,NA
"migrant",NA,"Black-throated Blue Warbler",1978,NA
"migrant",NA,"Prairie Warbler",1978,NA
"migrant",NA,"Baltimore Oriole",1978,NA
"migrant",NA,"Indigo Bunting",1978,NA
"migrant",NA,"Rose-breasted Grosbeak",1978,NA
"resident","Frugivores","Zenaida Dove",1978,0
"resident","Frugivores","Common Ground-dove",1978,6
"resident","Frugivores","Key West Quail Dov",1978,2
"resident","Frugivores","Pearly-eyed Thrasher",1978,11
"resident","Frugivores","Red-legged Thrush",1978,4
"resident","Frugivores","Antillean Euphonia",1978,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1978,1
"resident","Frugivores","Puerto Rican Bullfinch",1978,18
"resident","Frugivores","Black-faced Grassquit",1978,6
"resident","Frugivores","Yellow-faced Grassquit",1978,0
"resident","Frugivores","Northern Mockingbird",1978,0
"resident","Nectarivores","Antillean Mango",1978,0
"resident","Nectarivores","Puero Rican Emerald",1978,0
"resident","Nectarivores","Bananaquit",1978,17
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1978,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1978,0
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1978,2
"resident","Insectivores-Gleaners","Adelaide's Warbler",1978,7
"resident","Insectivores-Gleaners","Black-cowled Oriole",1978,0
"resident","Insectivores-Gleaners","Troupial",1978,1
"resident","Insectivores-Flycatchers","Gray Kingbird",1978,1
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1978,4
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1978,1
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1978,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1978,0
"migrant",NA,"Merlin",1979,NA
"migrant",NA,"Bicknell's Thrush",1979,NA
"migrant",NA,"Ovenbird",1979,NA
"migrant",NA,"Worm-eating Warbler",1979,NA
"migrant",NA,"Northern Waterthrush",1979,NA
"migrant",NA,"Blue-winged Warbler",1979,NA
"migrant",NA,"Black-and-white Warbler",1979,NA
"migrant",NA,"Prothonotary Warbler",1979,NA
"migrant",NA,"Swainson's Warbler",1979,NA
"migrant",NA,"Kentucky Warbler",1979,NA
"migrant",NA,"Hooded Warbler",1979,NA
"migrant",NA,"American Redstart",1979,NA
"migrant",NA,"Cape May Warbler",1979,NA
"migrant",NA,"Northern Parula",1979,NA
"migrant",NA,"Magnolia Warbler",1979,NA
"migrant",NA,"Black-throated Blue Warbler",1979,NA
"migrant",NA,"Prairie Warbler",1979,NA
"migrant",NA,"Baltimore Oriole",1979,NA
"migrant",NA,"Indigo Bunting",1979,NA
"migrant",NA,"Rose-breasted Grosbeak",1979,NA
"resident","Frugivores","Zenaida Dove",1979,NA
"resident","Frugivores","Common Ground-dove",1979,NA
"resident","Frugivores","Key West Quail Dov",1979,NA
"resident","Frugivores","Pearly-eyed Thrasher",1979,NA
"resident","Frugivores","Red-legged Thrush",1979,NA
"resident","Frugivores","Antillean Euphonia",1979,NA
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1979,NA
"resident","Frugivores","Puerto Rican Bullfinch",1979,NA
"resident","Frugivores","Black-faced Grassquit",1979,NA
"resident","Frugivores","Yellow-faced Grassquit",1979,NA
"resident","Frugivores","Northern Mockingbird",1979,NA
"resident","Nectarivores","Antillean Mango",1979,NA
"resident","Nectarivores","Puero Rican Emerald",1979,NA
"resident","Nectarivores","Bananaquit",1979,NA
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1979,NA
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1979,NA
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1979,NA
"resident","Insectivores-Gleaners","Adelaide's Warbler",1979,NA
"resident","Insectivores-Gleaners","Black-cowled Oriole",1979,NA
"resident","Insectivores-Gleaners","Troupial",1979,NA
"resident","Insectivores-Flycatchers","Gray Kingbird",1979,NA
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1979,NA
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1979,NA
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1979,NA
"resident","Insectivores-Elaenia","Carribean Elaenia",1979,NA
"migrant",NA,"Merlin",1980,NA
"migrant",NA,"Bicknell's Thrush",1980,NA
"migrant",NA,"Ovenbird",1980,NA
"migrant",NA,"Worm-eating Warbler",1980,3
"migrant",NA,"Northern Waterthrush",1980,NA
"migrant",NA,"Blue-winged Warbler",1980,NA
"migrant",NA,"Black-and-white Warbler",1980,8
"migrant",NA,"Prothonotary Warbler",1980,NA
"migrant",NA,"Swainson's Warbler",1980,NA
"migrant",NA,"Kentucky Warbler",1980,NA
"migrant",NA,"Hooded Warbler",1980,NA
"migrant",NA,"American Redstart",1980,4
"migrant",NA,"Cape May Warbler",1980,NA
"migrant",NA,"Northern Parula",1980,NA
"migrant",NA,"Magnolia Warbler",1980,NA
"migrant",NA,"Black-throated Blue Warbler",1980,NA
"migrant",NA,"Prairie Warbler",1980,NA
"migrant",NA,"Baltimore Oriole",1980,NA
"migrant",NA,"Indigo Bunting",1980,NA
"migrant",NA,"Rose-breasted Grosbeak",1980,NA
"resident","Frugivores","Zenaida Dove",1980,0
"resident","Frugivores","Common Ground-dove",1980,0
"resident","Frugivores","Key West Quail Dov",1980,1
"resident","Frugivores","Pearly-eyed Thrasher",1980,8
"resident","Frugivores","Red-legged Thrush",1980,10
"resident","Frugivores","Antillean Euphonia",1980,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1980,2
"resident","Frugivores","Puerto Rican Bullfinch",1980,13
"resident","Frugivores","Black-faced Grassquit",1980,4
"resident","Frugivores","Yellow-faced Grassquit",1980,0
"resident","Frugivores","Northern Mockingbird",1980,0
"resident","Nectarivores","Antillean Mango",1980,0
"resident","Nectarivores","Puero Rican Emerald",1980,0
"resident","Nectarivores","Bananaquit",1980,16
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1980,1
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1980,1
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1980,2
"resident","Insectivores-Gleaners","Adelaide's Warbler",1980,3
"resident","Insectivores-Gleaners","Black-cowled Oriole",1980,0
"resident","Insectivores-Gleaners","Troupial",1980,0
"resident","Insectivores-Flycatchers","Gray Kingbird",1980,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1980,2
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1980,4
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1980,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1980,1
"migrant",NA,"Merlin",1981,NA
"migrant",NA,"Bicknell's Thrush",1981,NA
"migrant",NA,"Ovenbird",1981,NA
"migrant",NA,"Worm-eating Warbler",1981,1
"migrant",NA,"Northern Waterthrush",1981,NA
"migrant",NA,"Blue-winged Warbler",1981,NA
"migrant",NA,"Black-and-white Warbler",1981,2
"migrant",NA,"Prothonotary Warbler",1981,NA
"migrant",NA,"Swainson's Warbler",1981,NA
"migrant",NA,"Kentucky Warbler",1981,NA
"migrant",NA,"Hooded Warbler",1981,NA
"migrant",NA,"American Redstart",1981,5
"migrant",NA,"Cape May Warbler",1981,NA
"migrant",NA,"Northern Parula",1981,NA
"migrant",NA,"Magnolia Warbler",1981,NA
"migrant",NA,"Black-throated Blue Warbler",1981,NA
"migrant",NA,"Prairie Warbler",1981,NA
"migrant",NA,"Baltimore Oriole",1981,NA
"migrant",NA,"Indigo Bunting",1981,NA
"migrant",NA,"Rose-breasted Grosbeak",1981,NA
"resident","Frugivores","Zenaida Dove",1981,0
"resident","Frugivores","Common Ground-dove",1981,4
"resident","Frugivores","Key West Quail Dov",1981,0
"resident","Frugivores","Pearly-eyed Thrasher",1981,8
"resident","Frugivores","Red-legged Thrush",1981,5
"resident","Frugivores","Antillean Euphonia",1981,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1981,1
"resident","Frugivores","Puerto Rican Bullfinch",1981,16
"resident","Frugivores","Black-faced Grassquit",1981,1
"resident","Frugivores","Yellow-faced Grassquit",1981,0
"resident","Frugivores","Northern Mockingbird",1981,0
"resident","Nectarivores","Antillean Mango",1981,1
"resident","Nectarivores","Puero Rican Emerald",1981,0
"resident","Nectarivores","Bananaquit",1981,18
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1981,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1981,2
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1981,4
"resident","Insectivores-Gleaners","Adelaide's Warbler",1981,7
"resident","Insectivores-Gleaners","Black-cowled Oriole",1981,0
"resident","Insectivores-Gleaners","Troupial",1981,0
"resident","Insectivores-Flycatchers","Gray Kingbird",1981,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1981,3
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1981,1
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1981,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1981,6
"migrant",NA,"Merlin",1982,NA
"migrant",NA,"Bicknell's Thrush",1982,NA
"migrant",NA,"Ovenbird",1982,NA
"migrant",NA,"Worm-eating Warbler",1982,2
"migrant",NA,"Northern Waterthrush",1982,NA
"migrant",NA,"Blue-winged Warbler",1982,NA
"migrant",NA,"Black-and-white Warbler",1982,4
"migrant",NA,"Prothonotary Warbler",1982,NA
"migrant",NA,"Swainson's Warbler",1982,NA
"migrant",NA,"Kentucky Warbler",1982,NA
"migrant",NA,"Hooded Warbler",1982,NA
"migrant",NA,"American Redstart",1982,8
"migrant",NA,"Cape May Warbler",1982,NA
"migrant",NA,"Northern Parula",1982,NA
"migrant",NA,"Magnolia Warbler",1982,NA
"migrant",NA,"Black-throated Blue Warbler",1982,NA
"migrant",NA,"Prairie Warbler",1982,NA
"migrant",NA,"Baltimore Oriole",1982,NA
"migrant",NA,"Indigo Bunting",1982,NA
"migrant",NA,"Rose-breasted Grosbeak",1982,NA
"resident","Frugivores","Zenaida Dove",1982,0
"resident","Frugivores","Common Ground-dove",1982,0
"resident","Frugivores","Key West Quail Dov",1982,0
"resident","Frugivores","Pearly-eyed Thrasher",1982,16
"resident","Frugivores","Red-legged Thrush",1982,5
"resident","Frugivores","Antillean Euphonia",1982,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1982,5
"resident","Frugivores","Puerto Rican Bullfinch",1982,29
"resident","Frugivores","Black-faced Grassquit",1982,2
"resident","Frugivores","Yellow-faced Grassquit",1982,0
"resident","Frugivores","Northern Mockingbird",1982,0
"resident","Nectarivores","Antillean Mango",1982,0
"resident","Nectarivores","Puero Rican Emerald",1982,0
"resident","Nectarivores","Bananaquit",1982,27
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1982,1
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1982,1
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1982,3
"resident","Insectivores-Gleaners","Adelaide's Warbler",1982,8
"resident","Insectivores-Gleaners","Black-cowled Oriole",1982,0
"resident","Insectivores-Gleaners","Troupial",1982,2
"resident","Insectivores-Flycatchers","Gray Kingbird",1982,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1982,5
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1982,3
