"common.name","spp","spp.code","year","N","nets"
"Merlin","Falco columbarius","MERL",1989,1,7
"Bicknell's Thrush","Catharus bicknelli","BITH",1989,0,7
"Ovenbird","Seiurus aurocapilla","OVEN",1989,26,7
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1989,4,7
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1989,0,7
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1989,0,7
"Black-and-white Warbler","Mniotilta varia","BAWW",1989,35,7
"Prothonotary Warbler","Protonotaria citrea","PROW",1989,2,7
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1989,0,7
"Kentucky Warbler","Geothlypis formosa","KEWA",1989,0,7
"Hooded Warbler","Setophaga citrina","HOWA",1989,5,7
"American Redstart","Setophaga ruticilla","AMRE",1989,13,7
"Cape May Warbler","Setophaga tigrina","CMWA",1989,2,7
"Northern Parula","Setophaga americana","NOPA",1989,4,7
"Magnolia Warbler","Setophaga magnolia","MAWA",1989,0,7
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1989,0,7
"Prairie Warbler","Setophaga discolor","PRWA",1989,2,7
"Baltimore Oriole","Icterus galbula","BAOR",1989,0,7
"Indigo Bunting","Passerina cyanea","INBU",1989,0,7
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1989,0,7
"Merlin","Falco columbarius","MERL",1990,1,8
"Bicknell's Thrush","Catharus bicknelli","BITH",1990,0,8
"Ovenbird","Seiurus aurocapilla","OVEN",1990,51,8
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1990,2,8
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1990,2,8
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1990,0,8
"Black-and-white Warbler","Mniotilta varia","BAWW",1990,52,8
"Prothonotary Warbler","Protonotaria citrea","PROW",1990,0,8
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1990,1,8
"Kentucky Warbler","Geothlypis formosa","KEWA",1990,0,8
"Hooded Warbler","Setophaga citrina","HOWA",1990,10,8
"American Redstart","Setophaga ruticilla","AMRE",1990,21,8
"Cape May Warbler","Setophaga tigrina","CMWA",1990,1,8
"Northern Parula","Setophaga americana","NOPA",1990,3,8
"Magnolia Warbler","Setophaga magnolia","MAWA",1990,0,8
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1990,2,8
"Prairie Warbler","Setophaga discolor","PRWA",1990,0,8
"Baltimore Oriole","Icterus galbula","BAOR",1990,0,8
"Indigo Bunting","Passerina cyanea","INBU",1990,0,8
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1990,0,8
"Merlin","Falco columbarius","MERL",1991,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1991,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1991,29,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1991,6,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1991,4,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1991,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1991,60,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1991,1,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1991,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1991,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1991,8,9
"American Redstart","Setophaga ruticilla","AMRE",1991,19,9
"Cape May Warbler","Setophaga tigrina","CMWA",1991,9,9
"Northern Parula","Setophaga americana","NOPA",1991,7,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1991,1,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1991,2,9
"Prairie Warbler","Setophaga discolor","PRWA",1991,4,9
"Baltimore Oriole","Icterus galbula","BAOR",1991,0,9
"Indigo Bunting","Passerina cyanea","INBU",1991,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1991,0,9
"Merlin","Falco columbarius","MERL",1992,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1992,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1992,35,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1992,5,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1992,1,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1992,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1992,67,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1992,1,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1992,1,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1992,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1992,4,9
"American Redstart","Setophaga ruticilla","AMRE",1992,30,9
"Cape May Warbler","Setophaga tigrina","CMWA",1992,0,9
"Northern Parula","Setophaga americana","NOPA",1992,8,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1992,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1992,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1992,12,9
"Baltimore Oriole","Icterus galbula","BAOR",1992,0,9
"Indigo Bunting","Passerina cyanea","INBU",1992,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1992,0,9
"Merlin","Falco columbarius","MERL",1993,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1993,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1993,34,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1993,2,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1993,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1993,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1993,38,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1993,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1993,1,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1993,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1993,1,9
"American Redstart","Setophaga ruticilla","AMRE",1993,11,9
"Cape May Warbler","Setophaga tigrina","CMWA",1993,0,9
"Northern Parula","Setophaga americana","NOPA",1993,7,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1993,1,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1993,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1993,4,9
"Baltimore Oriole","Icterus galbula","BAOR",1993,0,9
"Indigo Bunting","Passerina cyanea","INBU",1993,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1993,0,9
"Merlin","Falco columbarius","MERL",1994,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1994,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1994,18,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1994,3,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1994,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1994,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1994,38,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1994,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1994,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1994,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1994,2,9
"American Redstart","Setophaga ruticilla","AMRE",1994,9,9
"Cape May Warbler","Setophaga tigrina","CMWA",1994,0,9
"Northern Parula","Setophaga americana","NOPA",1994,4,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1994,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1994,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1994,10,9
"Baltimore Oriole","Icterus galbula","BAOR",1994,0,9
"Indigo Bunting","Passerina cyanea","INBU",1994,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1994,0,9
"Merlin","Falco columbarius","MERL",1995,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1995,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1995,44,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1995,8,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1995,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1995,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1995,50,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1995,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1995,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1995,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1995,3,9
"American Redstart","Setophaga ruticilla","AMRE",1995,29,9
"Cape May Warbler","Setophaga tigrina","CMWA",1995,3,9
"Northern Parula","Setophaga americana","NOPA",1995,7,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1995,1,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1995,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1995,5,9
"Baltimore Oriole","Icterus galbula","BAOR",1995,0,9
"Indigo Bunting","Passerina cyanea","INBU",1995,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1995,2,9
"Merlin","Falco columbarius","MERL",1996,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1996,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1996,38,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1996,7,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1996,2,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1996,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1996,56,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1996,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1996,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1996,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1996,2,9
"American Redstart","Setophaga ruticilla","AMRE",1996,21,9
"Cape May Warbler","Setophaga tigrina","CMWA",1996,0,9
"Northern Parula","Setophaga americana","NOPA",1996,1,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1996,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1996,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1996,2,9
"Baltimore Oriole","Icterus galbula","BAOR",1996,0,9
"Indigo Bunting","Passerina cyanea","INBU",1996,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1996,0,9
"Merlin","Falco columbarius","MERL",1997,1,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1997,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1997,33,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1997,10,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1997,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1997,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1997,34,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1997,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1997,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1997,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1997,0,9
"American Redstart","Setophaga ruticilla","AMRE",1997,7,9
"Cape May Warbler","Setophaga tigrina","CMWA",1997,0,9
"Northern Parula","Setophaga americana","NOPA",1997,2,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1997,0,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1997,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1997,6,9
"Baltimore Oriole","Icterus galbula","BAOR",1997,0,9
"Indigo Bunting","Passerina cyanea","INBU",1997,5,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1997,0,9
"Merlin","Falco columbarius","MERL",1998,1,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1998,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1998,34,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1998,3,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1998,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1998,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1998,41,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1998,0,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1998,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1998,0,9
"Hooded Warbler","Setophaga citrina","HOWA",1998,2,9
"American Redstart","Setophaga ruticilla","AMRE",1998,34,9
"Cape May Warbler","Setophaga tigrina","CMWA",1998,1,9
"Northern Parula","Setophaga americana","NOPA",1998,22,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1998,1,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1998,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1998,21,9
"Baltimore Oriole","Icterus galbula","BAOR",1998,0,9
"Indigo Bunting","Passerina cyanea","INBU",1998,1,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1998,2,9
"Merlin","Falco columbarius","MERL",1999,0,9
"Bicknell's Thrush","Catharus bicknelli","BITH",1999,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",1999,22,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1999,7,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1999,1,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1999,1,9
"Black-and-white Warbler","Mniotilta varia","BAWW",1999,43,9
"Prothonotary Warbler","Protonotaria citrea","PROW",1999,1,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1999,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",1999,1,9
"Hooded Warbler","Setophaga citrina","HOWA",1999,2,9
"American Redstart","Setophaga ruticilla","AMRE",1999,18,9
"Cape May Warbler","Setophaga tigrina","CMWA",1999,0,9
"Northern Parula","Setophaga americana","NOPA",1999,15,9
"Magnolia Warbler","Setophaga magnolia","MAWA",1999,2,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1999,0,9
"Prairie Warbler","Setophaga discolor","PRWA",1999,19,9
"Baltimore Oriole","Icterus galbula","BAOR",1999,0,9
"Indigo Bunting","Passerina cyanea","INBU",1999,0,9
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1999,0,9
"Merlin","Falco columbarius","MERL",2000,1,9
"Bicknell's Thrush","Catharus bicknelli","BITH",2000,0,9
"Ovenbird","Seiurus aurocapilla","OVEN",2000,31,9
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",2000,5,9
"Northern Waterthrush","Parkesia noveboracensis","NOWA",2000,0,9
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",2000,0,9
"Black-and-white Warbler","Mniotilta varia","BAWW",2000,44,9
"Prothonotary Warbler","Protonotaria citrea","PROW",2000,3,9
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",2000,0,9
"Kentucky Warbler","Geothlypis formosa","KEWA",2000,0,9
"Hooded Warbler","Setophaga citrina","HOWA",2000,2,9
"American Redstart","Setophaga ruticilla","AMRE",2000,16,9
"Cape May Warbler","Setophaga tigrina","CMWA",2000,1,9
"Northern Parula","Setophaga americana","NOPA",2000,17,9
"Magnolia Warbler","Setophaga magnolia","MAWA",2000,2,9
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",2000,0,9
"Prairie Warbler","Setophaga discolor","PRWA",2000,16,9
"Baltimore Oriole","Icterus galbula","BAOR",2000,0,9
"Indigo Bunting","Passerina cyanea","INBU",2000,1,9
